instance,N,tmax,outcome,outcome_reported,n_points,n_extend_points,t_max_reached,F_min,nsamp_extend
instance_104_d_13,6,,t_cap,t_cap,30,22,78.74752771398585,0.8122007284063779,8
instance_105_d_15,6,,t_cap,t_cap,16,8,16.31461442000001,0.965212420085219,8
instance_156_d_15,6,,t_cap,t_cap,16,8,16.31461442000001,0.9771308385051334,8
instance_148_d_8,10,9.889908367471689,crossed,in_progress,15,7,12.549703400000006,0.056797817153893156,
instance_167_d_7,10,3.8061319852934203,crossed,in_progress,11,3,4.394000000000001,0.05494431407872924,
instance_35_d_5,10,0.4954622772127801,crossed,not_extended,8,0,2.0,-0.003920198231935501,
instance_4_d_5,10,0.4344639774898263,crossed,not_extended,8,0,2.0,0.005339217395521701,
instance_63_d_5,10,0.4336149374308754,crossed,not_extended,8,0,2.0,-0.0018058772897347809,
instance_137_d_5,11,0.749428197844105,crossed,not_extended,8,0,2.0,0.012905761832371354,
instance_145_d_5,11,0.5819481851241777,crossed,not_extended,8,0,2.0,0.0009484645328484475,
instance_175_d_8,11,7.015610112408175,crossed,crossed,18,10,7.425860000000003,0.0884406970241416,8
instance_179_d_5,11,0.6528536346355973,crossed,not_extended,8,0,2.0,0.011600691173225642,
instance_189_d_14,11,,wall_cap,wall_cap,13,5,7.425860000000003,0.7701374228782749,8
instance_190_d_7,11,1.1293020639199063,crossed,not_extended,8,0,2.0,0.03138216347433627,
instance_194_d_15,11,,wall_cap,wall_cap,30,22,78.74752771398585,0.21203946549224859,8
instance_26_d_7,11,0.5603255286667954,crossed,not_extended,8,0,2.0,0.002356998238246888,
instance_38_d_6,11,3.745882201443582,crossed,crossed,14,6,4.394000000000001,0.0612962434060362,8
instance_42_d_5,11,0.831465858302783,crossed,not_extended,8,0,2.0,0.004645968263503164,
instance_48_d_5,11,0.4843883504189041,crossed,not_extended,8,0,2.0,0.002479113731533289,
instance_68_d_13,11,3.2284245143151065,crossed,crossed,12,4,3.3800000000000003,0.0733229004108568,8
instance_75_d_6,11,0.6840002616657885,crossed,not_extended,8,0,2.0,0.00957527254940942,
instance_81_d_14,11,,wall_cap,wall_cap,15,7,12.549703400000006,0.7812504952286847,8
instance_87_d_5,11,0.7068265856032214,crossed,not_extended,8,0,2.0,-0.006581645633559674,
instance_93_d_5,11,0.6938676766347137,crossed,not_extended,8,0,2.0,0.009442390582989901,
instance_96_d_5,11,0.8853661673649996,crossed,not_extended,8,0,2.0,-0.008299762534443289,
instance_101_d_8,12,0.6973830190001903,crossed,not_extended,8,0,2.0,0.005968007305637002,
instance_120_d_5,12,0.710325960364011,crossed,not_extended,8,0,2.0,-0.0037827758817002176,
instance_122_d_8,12,0.6661575568523661,crossed,not_extended,8,0,2.0,0.0066954147827345874,
instance_123_d_5,12,1.1421429626246318,crossed,not_extended,8,0,2.0,-0.0013470964040607214,
instance_124_d_5,12,0.9997710211895323,crossed,not_extended,8,0,2.0,0.008782352734124288,
instance_127_d_15,12,,wall_cap,wall_cap,16,8,16.31461442000001,0.3461009284549669,8
instance_132_d_9,12,0.8090019603896104,crossed,not_extended,8,0,2.0,0.008658009179634973,
instance_136_d_6,12,0.7440683512379686,crossed,not_extended,8,0,2.0,0.0013589464302640407,
instance_139_d_5,12,0.47887848970295177,crossed,not_extended,8,0,2.0,-0.005109053693013265,
instance_147_d_6,12,0.8131108814694127,crossed,not_extended,8,0,2.0,-0.0013165998214390128,
instance_154_d_5,12,0.5166336752244199,crossed,not_extended,8,0,2.0,0.0016314036096446217,
instance_176_d_5,12,1.0125099212089834,crossed,not_extended,8,0,2.0,0.010884573147632182,
instance_179_d_7,12,1.4040307453342875,crossed,not_extended,8,0,2.0,0.04658489319845103,
instance_179_d_9,12,19.558971974971836,crossed,crossed,17,9,21.208998746000013,0.07725777299712691,8
instance_185_d_7,12,0.7811745141377479,crossed,not_extended,8,0,2.0,0.0013622015423607082,
instance_187_d_5,12,0.4985067550615799,crossed,not_extended,8,0,2.0,-0.004126806656131521,
instance_192_d_8,12,0.6760186295266817,crossed,not_extended,8,0,2.0,0.005086458538426086,
instance_24_d_5,12,0.579627959874146,crossed,not_extended,8,0,2.0,-0.005542259116191417,
instance_27_d_14,12,1.7657162805843842,crossed,not_extended,8,0,2.0,0.07473262386629358,
instance_31_d_5,12,0.45822192646960413,crossed,not_extended,8,0,2.0,-0.002554702141787857,
instance_36_d_14,12,,wall_cap,wall_cap,16,8,16.31461442000001,0.9609679858668069,8
instance_42_d_6,12,0.9143328928314067,crossed,not_extended,8,0,2.0,0.006898569676559418,
instance_53_d_5,12,0.7710386433608717,crossed,not_extended,8,0,2.0,-0.006235122476937249,
instance_57_d_14,12,4.203246940832695,crossed,crossed,11,3,4.394000000000001,0.08677772337020981,8
instance_59_d_8,12,5.1761868417257935,crossed,crossed,12,4,5.712200000000002,0.07869004784330957,8
instance_68_d_5,12,1.3945839609558655,crossed,not_extended,8,0,2.0,0.024315644818125294,
instance_74_d_9,12,1.5542852708928934,crossed,not_extended,8,0,2.0,0.052937563060550016,
instance_88_d_7,12,1.6410278681140054,crossed,not_extended,8,0,2.0,0.04505051027517766,
instance_8_d_6,12,0.5770245623499284,crossed,not_extended,8,0,2.0,-0.009637760644545778,
instance_100_d_6,13,0.6221921017642292,crossed,not_extended,8,0,2.0,-0.004362758673960343,
instance_102_d_14,13,16.39304977444303,crossed,crossed,17,9,21.208998746000013,0.07258549354276814,8
instance_103_d_15,13,3.8565363710001592,crossed,crossed,11,3,4.394000000000001,0.06198567026620897,8
instance_104_d_5,13,1.2292847092856773,crossed,not_extended,8,0,2.0,0.022941723742405884,
instance_106_d_5,13,1.7124433143266717,crossed,not_extended,8,0,2.0,0.06428159824863541,
